Provincia,Departamento,Cant_EE,Cant_BP,Poblacion
Entre Ríos,Gualeguaychu,251,8,125176
Misiones,Guarani,250,2,77075
Buenos Aires,Escobar,249,2,256071
Buenos Aires,Esteban Echeverria,247,3,337880
Córdoba,Punilla,245,12,219494
Córdoba,Union,245,7,113635
Santa Fe,Las Colonias,241,18,114730
San Juan,Capital,241,16,114849
La Rioja,Capital,234,6,210507
Mendoza,Godoy Cruz,232,3,194557
Río Negro,Bariloche,230,9,161443
Tucumán,Cruz Alta,225,4,227688
Chaco,Libertador General San Martin,224,6,65304
Mendoza,Las Heras,222,6,233839
Buenos Aires,Olavarria,221,11,122011
Entre Ríos,Concordia,217,5,197603
San Luis,General Juan Martin De Pueyrredon,216,10,260769
Chubut,Escalante,215,7,214829
Mendoza,Maipu,215,3,218887
Chaco,Comandante Fernandez,215,2,101086
Formosa,Pilcomayo,213,8,94116
Misiones,Cainguas,213,3,59875
Buenos Aires,San Nicolas,212,2,166657
Santa Fe,San Cristobal,210,11,72593
Buenos Aires,Tandil,209,14,144678
Córdoba,Marcos Juarez,207,11,107286
Santa Fe,San Lorenzo,206,7,193786
Córdoba,General San Martin,205,8,152397
Entre Ríos,Uruguay,204,6,115516
Chubut,Rawson,203,14,144420
Misiones,San Ignacio,199,2,63194
La Pampa,Capital,198,8,118504
Buenos Aires,Jose C. Paz,198,,326527
Entre Ríos,La Paz,196,3,75271
Mendoza,San Martin,194,4,139406
Buenos Aires,San Fernando,193,7,171099
Misiones,General Manuel Belgrano,193,2,45456
Córdoba,Rio Segundo,192,7,113311
Córdoba,Santa Maria,191,8,139012
Córdoba,Tercero Arriba,191,6,120207
Santa Fe,Vera,189,8,55463
Corrientes,Goya,188,3,106223
Salta,General Jose De San Martin,184,5,177448
Buenos Aires,Pergamino,184,4,114988
Santa Fe,San Jeronimo,176,8,84617
Catamarca,Capital,174,4,186466
Misiones,Iguazu,174,3,99838
Buenos Aires,Hurlingham,174,2,185361
Entre Ríos,Villaguay,173,3,55284
Buenos Aires,Ezeiza,171,2,198620
Mendoza,Lujan De Cuyo,167,6,171883
Entre Ríos,Nogoya,166,4,42954
Buenos Aires,Lujan,165,5,110111
Buenos Aires,Ituzaingo,164,1,177983
Córdoba,Cruz Del Eje,163,1,64748
Misiones,Eldorado,162,1,91133
Buenos Aires,Necochea,161,5,101483
Córdoba,Rio Primero,161,3,58181
Buenos Aires,Campana,161,1,107976
Buenos Aires,Junin,159,8,100964
Buenos Aires,Zarate,159,1,131415
Santa Cruz,Guer Aike,153,8,137309
Córdoba,Calamuchita,152,6,75462
Buenos Aires,Azul,151,3,75152
Entre Ríos,Federacion,145,4,78264
Misiones,Leandro N. Alem,145,1,49391
Santa Cruz,Deseado,142,7,126266
Santiago del Estero,Rio Hondo,142,4,66637
Entre Ríos,Diamante,142,3,52312
Mendoza,Lavalle,142,3,47086
San Juan,Rawson,141,8,136582
Santa Fe,Constitucion,140,17,93000
Chaco,Mayor Luis J Fontana,140,3,59798
Formosa,Bermejo,140,,15600
Santa Fe,Iriondo,138,12,73636
Misiones,25 De Mayo,138,2,30877
Formosa,Ramon Lista,137,,17678
Salta,Oran,135,4,159715
Santa Fe,Caseros,134,10,86261
Río Negro,Adolfo Alsina,134,5,63845
Tucumán,Tafi Viejo,134,4,172877
Tucumán,Leales,134,3,66352
Catamarca,Belen,133,5,30353
Córdoba,Juarez Celman,133,3,68317
Misiones,San Pedro,133,1,34690
Misiones,Libertador Grl San Martin,132,2,52166
Buenos Aires,Mercedes,132,1,71002
Salta,Rivadavia,131,1,38062
Buenos Aires,Trenque Lauquen,130,2,49128
Entre Ríos,Colon,129,6,74890
Córdoba,San Javier,129,5,62700
Santa Fe,San Martin,128,12,67299
San Luis,General Pedernera,128,10,148671
Mendoza,General Alvear,128,4,52379
Entre Ríos,Gualeguay,127,2,56796
Buenos Aires,Chivilcoy,127,1,70554
Santa Fe,9 De Julio,125,3,30942
Buenos Aires,San Pedro,124,2,68353
Buenos Aires,General Rodriguez,124,1,142315
Entre Ríos,Victoria,123,,40301
Chaco,Almirante Brown,122,,37794
Córdoba,San Alberto,119,2,42029
Buenos Aires,Tres Arroyos,118,10,61889
Entre Ríos,Federal,118,2,29436
Buenos Aires,25 De Mayo,118,1,35411
Santiago del Estero,Moreno,117,,40352
Santa Fe,San Justo,116,6,46486
Jujuy,San Pedro,114,6,88237
Santiago del Estero,Pellegrini,114,,26193
Buenos Aires,Lincoln,113,7,45191
Tierra del Fuego,Rio Grande,113,7,98922
Buenos Aires,9 De Julio,112,2,52366
Santiago del Estero,Copo,112,2,35653
San Juan,Rivadavia,109,8,101334
Mendoza,San Carlos,109,5,39752
Santiago del Estero,Figueroa,109,,20246
Buenos Aires,Bolivar,108,4,37194
Buenos Aires,Pehuajo,108,4,44594
Chaco,Bermejo,108,3,28060
Buenos Aires,Cañuelas,108,2,70542
Corrientes,Esquina,107,1,39168
Buenos Aires,Berisso,105,7,100685
Buenos Aires,Chacabuco,105,2,52409
Tierra del Fuego,Ushuaia,105,2,80009
Buenos Aires,Coronel Suarez,104,3,41713
